Year,Month,Monthly Anom,Monthly Unc,Annual Anom,Annual Unc,5-year Anom,5-year Unc,10-year Anom,10-year Unc,20-year Anom,20-year Unc
1762,8,-0.528,2.637,-1.658,1.591,-1.355,1.194,-1.393,1.048,-1.204,1.518
1762,9,-2.165,2.340,-1.846,1.698,-1.270,1.181,-1.416,1.051,-1.213,0.883
1762,10,-2.972,2.238,-1.974,1.626,-1.232,1.156,-1.395,1.051,-1.209,0.872
1762,11,0.160,4.011,-2.013,1.543,-1.220,1.125,-1.364,1.050,-1.204,0.874
1762,12,-1.169,2.751,-2.081,1.548,-1.224,1.130,-1.369,1.056,-1.196,0.842
1763,1,-2.020,4.942,-1.889,1.497,-1.176,1.066,-1.378,1.075,-1.206,0.857
1763,2,-3.003,3.248,-1.959,1.528,-1.159,1.058,-1.381,1.090,-1.207,0.866
1763,3,-4.731,4.436,-1.875,1.504,-1.148,1.039,-1.391,1.093,-1.213,0.866
1763,4,-1.947,1.876,-1.848,1.604,-1.129,1.040,-1.393,1.079,-1.205,0.854
1763,5,-1.873,2.569,-2.009,1.539,-1.131,1.058,-1.390,1.066,-1.199,0.842
1763,6,-2.668,2.659,-2.001,1.522,-1.117,1.049,-1.386,1.047,-1.198,0.829
1763,7,0.261,2.227,-1.957,1.491,-1.141,1.027,-1.374,1.033,-1.194,0.824
1763,8,-1.367,2.533,-1.527,1.490,-1.096,0.983,-1.361,1.021,-1.189,0.814
1763,9,-1.157,2.370,-1.212,1.483,-1.090,0.987,-1.354,1.013,-1.184,0.805
1763,10,-2.645,4.792,-1.166,1.551,-1.077,1.010,-1.313,0.996,-1.183,0.799
1763,11,-1.776,2.242,-1.176,1.629,-1.102,1.025,-1.320,0.974,-1.192,0.800
1763,12,-1.065,2.256,-1.219,1.611,-1.138,1.086,-1.319,0.953,-1.172,0.796
1764,1,-1.493,3.410,-1.444,1.683,-1.205,1.120,-1.336,0.922,-1.185,0.788
1764,2,2.160,2.822,-1.504,1.568,-1.217,1.134,-1.352,0.901,-1.166,0.793
1764,3,-0.952,2.057,-1.566,1.592,-1.212,1.093,-1.350,0.883,-1.157,0.787
1764,4,-1.398,2.513,-1.308,1.268,-1.182,1.076,-1.328,0.879,-1.165,0.782
1764,5,-1.988,4.128,-1.244,1.211,-1.156,1.130,-1.301,0.871,-1.144,0.768
1764,6,-3.184,2.252,-1.071,1.186,-1.093,1.124,-1.286,0.864,-1.135,0.762
1764,7,-2.445,3.364,-0.906,1.178,-1.207,1.024,-1.264,0.854,-1.126,0.763
1764,8,-2.083,1.499,-1.104,1.219,-1.214,0.927,-1.267,0.844,-1.119,0.762
1764,9,-1.910,2.306,-0.955,1.271,-1.156,0.924,-1.272,0.836,-1.119,0.761
1764,10,0.451,2.940,-0.827,1.164,-1.194,0.899,-1.294,0.816,-1.124,0.757
1764,11,-1.001,3.095,-0.746,1.133,-1.196,0.878,-1.304,0.804,-1.138,0.758
1764,12,1.007,4.520,-0.726,0.984,-1.165,0.866,-1.310,0.792,-1.154,0.752
1765,1,0.495,3.398,-0.583,0.989,-1.156,0.871,-1.283,0.776,-1.149,0.761
1765,2,-0.220,3.021,-0.490,0.996,-1.138,0.859,-1.277,0.779,-1.127,0.774
1765,3,0.832,2.901,-0.449,1.015,-1.112,0.869,-1.280,0.779,-1.110,0.772
1765,4,0.142,1.381,-0.609,0.925,-1.070,0.872,-1.259,0.763,-1.115,0.765
1765,5,-1.014,2.148,-0.602,1.077,-1.043,0.846,-1.258,0.749,-1.119,0.756
1765,6,-2.947,1.775,-0.814,1.226,-1.072,0.836,-1.253,0.741,-1.125,0.748
1765,7,-0.724,2.060,-1.168,1.131,-1.127,0.844,-1.249,0.719,-1.124,0.748
1765,8,-0.978,1.948,-1.061,0.921,-1.138,0.880,-1.256,0.716,-1.116,0.749
1765,9,-1.413,1.830,-1.130,1.122,-1.118,0.910,-1.252,0.702,-1.116,0.742
1765,10,-1.473,2.877,-1.204,1.375,-1.117,0.894,-1.235,0.693,-1.121,0.746
1765,11,-0.919,2.030,-1.156,1.641,-1.127,0.873,-1.234,0.679,-1.111,0.751
1765,12,-1.529,2.209,-0.933,1.739,-1.100,0.832,-1.207,0.662,-1.113,0.755
1766,1,-3.754,2.881,-0.978,2.055,-1.114,0.807,-1.170,0.647,-1.133,0.766
1766,2,1.067,2.782,-0.937,2.066,-1.120,0.783,-1.193,0.642,-1.138,0.760
1766,3,-0.002,3.196,-0.822,1.969,-1.127,0.759,-1.220,0.641,-1.137,0.754
1766,4,-0.747,4.597,-0.782,1.812,-1.111,0.739,-1.234,0.644,-1.147,0.757
1766,5,-0.437,2.457,-0.647,1.956,-1.110,0.719,-1.257,0.644,-1.157,0.746
1766,6,-0.267,1.286,-0.653,2.045,-1.109,0.682,-1.272,0.640,-1.152,0.740
1766,7,-1.270,3.047,-0.646,1.193,-1.092,0.612,-1.302,0.641,-1.149,0.740
1766,8,-0.482,2.015,-0.723,0.986,-1.152,0.590,-1.306,0.638,-1.139,0.746
1766,9,-0.030,1.246,-0.635,0.829,-1.158,0.575,-1.313,0.624,-1.144,0.744
1766,10,-0.995,1.609,-0.797,0.808,-1.130,0.575,-1.283,0.620,-1.145,0.745
1766,11,0.703,2.093,-0.891,0.808,-1.079,0.572,-1.291,0.619,-1.140,0.747
1766,12,-1.597,2.177,-0.867,1.020,-1.010,0.569,-1.261,0.611,-1.125,0.745
1767,1,-3.672,2.767,-0.885,1.027,-0.976,0.574,-1.299,0.637,-1.101,0.766
1767,2,0.143,3.189,-0.798,1.040,-0.955,0.571,-1.324,0.628,-1.098,0.771
1767,3,1.047,2.722,-0.845,0.931,-0.943,0.568,-1.329,0.628,-1.092,0.769
1767,4,-2.688,1.397,-0.804,0.897,-1.024,0.569,-1.327,0.620,-1.102,0.764
1767,5,-1.570,2.236,-0.715,1.142,-1.071,0.570,-1.333,0.603,-1.106,0.757
1767,6,0.029,1.566,-0.823,1.216,-1.179,0.586,-1.328,0.604,-1.118,0.745
1767,7,-1.494,3.334,-0.961,0.959,-1.203,0.564,-1.313,0.609,-1.132,0.738
1767,8,0.567,1.780,-1.278,1.671,-1.198,0.567,-1.309,0.603,-1.146,0.736
1767,9,-0.600,3.001,-1.660,1.896,-1.290,0.579,-1.308,0.600,-1.158,0.737
1767,10,-0.497,2.203,-1.591,1.845,-1.286,0.574,-1.285,0.591,-1.156,0.730
1767,11,1.775,2.035,-1.664,1.774,-1.295,0.570,-1.275,0.582,-1.151,0.729
1767,12,-2.899,2.407,-1.758,1.547,-1.282,0.555,-1.252,0.575,-1.143,0.733
1768,1,-5.326,3.365,-1.680,1.229,-1.322,0.550,-1.258,0.584,-1.124,0.737
1768,2,-3.656,4.933,-1.872,1.163,-1.352,0.549,-1.252,0.586,-1.100,0.738
1768,3,-3.540,2.882,-1.952,0.961,-1.355,0.546,-1.223,0.590,-1.096,0.732
1768,4,-1.864,1.711,-2.052,0.924,-1.340,0.534,-1.201,0.581,-1.080,0.726
1768,5,-2.442,1.727,-2.342,0.921,-1.337,0.541,-1.173,0.566,-1.070,0.721
1768,6,-1.098,2.522,-2.186,0.889,-1.296,0.549,-1.157,0.559,-1.072,0.713
1768,7,-0.562,2.057,-1.781,1.054,-1.200,0.577,-1.160,0.560,-1.059,0.712
1768,8,-1.738,1.124,-1.598,1.379,-1.290,0.557,-1.152,0.547,-1.048,0.711
1768,9,-1.554,2.057,-1.410,1.698,-1.350,0.559,-1.141,0.547,-1.033,0.713
1768,10,-1.704,2.520,-1.232,1.575,-1.391,0.569,-1.122,0.537,-1.011,0.704
1768,11,-1.707,2.689,-0.936,1.797,-1.411,0.552,-1.131,0.547,-1.018,0.701
1768,12,-1.026,3.752,-0.766,1.745,-1.406,0.592,-1.108,0.536,-1.021,0.701
1769,1,-0.467,3.913,-0.753,1.689,-1.399,0.624,-1.123,0.514,-1.034,0.701
1769,2,-1.449,3.245,-0.679,1.861,-1.395,0.640,-1.131,0.507,-1.031,0.689
1769,3,-1.290,3.169,-0.647,1.739,-1.414,0.641,-1.124,0.506,-1.021,0.690
1769,4,0.278,3.140,-0.874,1.768,-1.384,0.647,-1.099,0.500,-1.006,0.688
1769,5,1.102,3.948,-1.047,1.562,-1.426,0.700,-1.038,0.498,-0.987,0.683
1769,6,0.947,1.922,-1.417,1.184,-1.429,0.719,-0.998,0.494,-0.988,0.681
1769,7,-0.410,2.062,-1.459,1.232,-1.392,0.568,-0.963,0.490,-0.980,0.678
1769,8,-0.845,2.082,-1.333,1.141,-1.433,0.560,-0.948,0.490,-0.978,0.680
